Observed_Outcome,Residuals,Standard_Errors,Z_Values
286,0.015511631520554476,0.06541059503032248,0.23714249218133127
287,0.003544794888087246,0.06553561038454431,0.05408959903306613
288,0.07321503757594111,0.07352369330079113,0.9958019556554745
289,-0.01950915536266145,0.07258805575001508,-0.2687653658867616
290,-0.027283824560251062,0.07217569204220867,-0.37801957678902975
291,-0.024820355842224053,0.08089596811984186,-0.30681820638396207
292,-0.02333922281598399,0.08087562860144527,-0.288581655803871
293,-0.01523200737428022,0.08184970859396243,-0.18609727066766607
294,0.013671801999469898,0.06422158606446876,0.2128848388413434
295,0.006548914273887536,0.06424029108018424,0.10194403175591517
296,0.0055270699510521935,0.06422212370147423,0.08606177486038691
297,0.00552398688183261,0.06425936478084555,0.08596391982198992
298,0.006036634049864275,0.06425931239282706,0.09394177785410156
299,0.005011077107518291,0.06425941724945936,0.07798198804176755
300,0.008002606756698767,0.06418434462634767,0.12468159959077774
301,0.005716479341061444,0.0641844050558295,0.089063368836855
302,0.005820509315301242,0.06418445717110616,0.09068409349921953
303,0.006288163906262768,0.06418450392095772,0.09797012553071299
304,0.005976371246971949,0.06419497621165399,0.09309717986758902
305,0.006028398230247028,0.06419496782695341,0.0939076447003981
306,0.013767336346336397,0.06418402274921414,0.21449787278259932
307,0.00551287395211036,0.06418415509133187,0.08589150927149743
308,0.005513834950555024,0.06419455129451496,0.08589256937490501
309,0.008102872843595423,0.06418419165893231,0.1262440584537263
310,0.0060285745638525914,0.0641738557313142,0.09394128644994125
311,0.0060285745638525914,0.0641738557313142,0.09394128644994125
312,0.01269163805010472,0.06422238326726146,0.19762016612321076
313,0.007575217704147327,0.0642227121429289,0.1179523170446077
314,0.006035185770159982,0.0642228130167467,0.09397261637521624
315,0.0070629492453235425,0.06420854807018771,0.1100001395079497
316,0.006548515657860234,0.0641942056670874,0.1020110084673527
317,0.005518603972019774,0.06419427235736788,0.08596723304686509
318,0.012681678271438155,0.07893089009149354,0.1606681269745984
319,0.07190628289716036,0.09425139671024536,0.7629200776538091
320,0.03232318421868748,0.07952431523371646,0.406456618000317
321,0.09634842175171031,0.07663032166990015,1.2573145936506658
